0	9000	nmhh	H2	K	Induktív alkalmazások (SRD).	MSZ EN 300 330-2	2. melléklet V. fejezetEgyedi engedélyezési kötelezettség alól mentesítve.
9000	14000	nmhh	RÁDIÓNAVIGÁCIÓ				
9000	14000	nmhh	H3	K	Repülés útvonali (föld-levegő) rádiónavigációs rendszerek.		
9000	14000	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő)hiperbolikus rádiónavigációs rendszer (Omega rendszer).		
9000	14000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
9000	14000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EUERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
14000	19950	nmhh	ÁLLANDÓHELYŰ				
14000	19950	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
14000	19950	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
14000	19950	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
14000	19950	nmhh	H7		Induktív kis hatókörzetű személyhívók a 16-19,95 kHz sávban.	ECC/REC/(02)01; MSZ EN 300 224-2	
19950	20050	nmhh	HITELES FREKVENCIA ÉS ÓRAJEL				
19950	20050	nmhh	H8	K	Hiteles frekvencia és órajel alkalmazások.		
19950	20050	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
19950	20050	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
19950	20050	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
20050	70000	nmhh	ÁLLANDÓHELYŰ				
20050	70000	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
20050	70000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
20050	70000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
20050	70000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
70000	72000	nmhh	RÁDIÓNAVIGÁCIÓ				
70000	72000	nmhh	H3	K	Rádió-irányjeladók (föld-levegő).		
70000	72000	nmhh	H9		Hajófedélzeti rádiónavigációs alkalmazások.		
70000	72000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
70000	72000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
70000	72000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
72000	84000	nmhh	ÁLLANDÓHELYŰ				
72000	84000	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
72000	84000	nmhh	RÁDIÓNAVIGÁCIÓ				
72000	84000	nmhh	H3		Rádió-irányjeladók (föld-levegő).		
72000	84000	nmhh	H9		Hajófedélzeti rádiónavigációs alkalmazások.		
72000	84000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
72000	84000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
